[05-Jun-2014 17:57:54 Asia/Taipei] PHP Fatal error:  Call to undefined function my_msg() in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 13
[05-Jun-2014 17:59:33 Asia/Taipei] PHP Warning:  mysql_free_result() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 23
[05-Jun-2014 17:59:36 Asia/Taipei] PHP Warning:  mysql_free_result() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 23
[05-Jun-2014 17:59:50 Asia/Taipei] PHP Warning:  mysql_free_result() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 23
[05-Jun-2014 18:00:00 Asia/Taipei] PHP Warning:  mysql_free_result() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 23
[05-Jun-2014 18:00:10 Asia/Taipei] PHP Warning:  mysql_free_result() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 23
[05-Jun-2014 18:00:15 Asia/Taipei] PHP Warning:  mysql_free_result() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 23
[05-Jun-2014 18:02:07 Asia/Taipei] PHP Warning:  mysql_free_result() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 23
[05-Jun-2014 18:02:11 Asia/Taipei] PHP Warning:  mysql_free_result() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 23
[05-Jun-2014 18:02:15 Asia/Taipei] PHP Warning:  mysql_free_result() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 23
[05-Jun-2014 18:04:28 Asia/Taipei] PHP Warning:  mysql_free_result() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 25
[05-Jun-2014 18:05:47 Asia/Taipei] PHP Warning:  mysql_free_result() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 25
[05-Jun-2014 18:06:26 Asia/Taipei] PHP Warning:  mysql_free_result() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 25
[05-Jun-2014 18:12:08 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'exit' (T_EXIT) in C:\TWAMPd\htdocs\MovieMark\regist_check.php on line 15
[09-Jun-2014 18:15:34 Asia/Taipei] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\test.php on line 16
[09-Jun-2014 18:15:35 Asia/Taipei] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\test.php on line 16
[09-Jun-2014 18:17:21 Asia/Taipei] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\test.php on line 17
[09-Jun-2014 18:17:21 Asia/Taipei] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\test.php on line 17
[09-Jun-2014 18:17:56 Asia/Taipei] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\test.php on line 17
[09-Jun-2014 18:17:57 Asia/Taipei] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\test.php on line 17
[09-Jun-2014 18:17:57 Asia/Taipei] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\test.php on line 17
[09-Jun-2014 18:17:58 Asia/Taipei] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\test.php on line 17
[09-Jun-2014 20:40:09 Asia/Taipei] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\test.php on line 16
[09-Jun-2014 20:45:40 Asia/Taipei] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\TWAMPd\htdocs\MovieMark\test.php on line 16
[10-Jun-2014 14:52:26 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 14:52:29 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 14:52:55 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 14:57:56 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 14:58:09 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 15:00:43 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 15:00:52 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 15:01:47 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 15:05:14 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 15
[10-Jun-2014 15:06:53 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 15
[10-Jun-2014 15:07:34 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 15
[10-Jun-2014 15:26:39 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 15
[10-Jun-2014 16:03:37 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 16:04:12 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 16:06:11 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 16:06:23 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 16:08:09 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 16:08:49 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 16:08:56 Asia/Taipei] PHP Fatal error:  Call to undefined function myaql_query() in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 12
[10-Jun-2014 16:11:09 Asia/Taipei] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, null given in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 19
[10-Jun-2014 16:12:00 Asia/Taipei] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, null given in C:\TWAMPd\htdocs\MovieMark\index_check.php on line 19
